V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Intro1,Intro2,Intro3,Intro4,Q92,mic1,mic2,mic3,mic4,mic5,like7,likecont_1,friends,Q69,Q101,attn1,attn2,rmq_1,rmq_2,rmq_3,rmq_4,rmq_5,rmq_6,rmq_7,rmq_8,rmq_9,rmq_10,rmq_11,rmq_12,rmq_13,rmq_14,rmq_15,rmq_16,rmq_17,rmq_18,rmq_19,rmq_20,rmq_21,rmq_22,rmq_23,rmq_24,rmq_25,rmq_26,rmq_27,rmq_28,rmq_29,rmq_30,attnchk1,rfq_1,rfq_2,rfq_3,rfq_4,rfq_5,rfq_6,rfq_7,rfq_8,rfq_9,rfq_10,rfq_11,age,gender,race_1,sex,sex_TEXT,job,edu_1,income_1,recall,Q34,honest1_12,cult1_12,advent1_12,indep1_12,persis1_12,thrifty1_12,Q159,honest2_12,advent2_12,intel2_12,greg2_12,persis2_12,Q166,loyal3_12,metic3_12,intel3_12,thrifty3_12,persis3_12,Q173,metic4_12,intel4_12,greg4_12,stub4_12,loyal4_12,Q180,greg5_12,fun5_12,advent5_12,intel5_12,persis5_12,prevmic,comments,Q96,micpass,LocationLatitude,LocationLongitude,LocationAccuracy,const_base,recall_sum,recall_avg
R_29ixWN8R233rUgY,Default Response Set,Anonymous,,,184.101.72.242,0,2/21/16 17:09,2/21/16 17:16,1,1,1,1,1,1,1,,,,,5,5,4,1,1,Survey,Survey,6,1,3,6,6,6,3,6,1,5,4,1,1,1,3,6,2,1,1,6,6,1,5,1,6,1,1,6,6,1,2,1,3,5,3,5,3,5,3,5,5,1,24,2,4,1,,M turk,6,1,Michael likes to tel.on.his classmates,1,2,4,5,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,2,Thank you for the opportunity,1,mic1,33.42739868,-112.2037964,-1,2.532282609,1.55,1.55
R_pQofPHRyZxhBD6V,Default Response Set,Anonymous,,,5.15.185.136,0,2/21/16 17:07,2/21/16 17:17,1,1,1,1,1,1,1,,,,,2,2,1,1,1,survey,survey,5,3,4,5,5,4,4,4,4,4,4,3,3,3,5,5,4,3,5,4,3,3,3,3,4,3,3,5,5,5,2,2,2,3,2,4,2,4,3,3,3,4,39,1,4,1,,Operations research analyst ,7,3,"Michael is into experimenting new things in live, extreme sports, traveling, new cultures. He doesn't get much time for new friends other than business encounters. He is trying to save money for his activities.",1,2,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,mic1,46.55000305,24.56669617,-1,2.532282609,57.9,2.517391304
R_2ZTZ919csfNVCcB,Default Response Set,Anonymous,,,71.88.152.220,0,2/21/16 17:11,2/21/16 17:17,1,1,1,1,1,1,,,1,,,5,5,5,1,1,survey,survey,4,3,5,5,5,4,3,5,3,3,4,1,1,5,1,5,4,3,2,4,4,3,3,1,3,1,1,5,5,1,2,4,1,4,1,5,5,4,1,2,4,1,19,1,3,1,,retail,5,4,he was a nice person who saved his money and spent time with his parents,,,,,,,,,,,,,,1,5,2,5,2,5,,,,,,,,,,,,,2,thanks,1,mic3,30.53349304,-92.11630249,-1,2.395989011,38.76,2.768571429
R_3KU6sfTx4pE7ctm,Default Response Set,Anonymous,,,75.133.239.13,0,2/21/16 17:11,2/21/16 17:18,1,1,1,1,1,1,,,,,1,2,2,2,1,1,survey,survey,5,2,2,5,4,3,4,4,5,3,4,1,2,3,4,5,2,3,4,4,5,2,2,4,5,1,2,5,3,3,2,3,1,4,2,5,1,4,2,2,4,1,27,2,4,3,,Manager,8,4,"Michael likes to read, and discusses the topics he's read about in depth, despite others not wanting to hear about them or them not being related to the conversations at hand. He is a risk taker, has rafted down rivers, climbed mountains, etc, and has gotten injured and risked death to take these risks, but he is a thrill-seeker and does not give them up. Once he makes a decision, his mind is made up, he will not change his mind and it is as good as done. He is a conversationalist, and an extrovert, but sometimes his conversations seem and feel rushed. ",,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,2,4,1,2,,1,mic5,44.34150696,-84.18759918,-1,2.449836066,177.67,2.307402597
R_2XhvS4KVipyvJc6,Default Response Set,Anonymous,,,50.149.204.211,0,2/21/16 17:07,2/21/16 17:18,1,1,1,1,1,1,,,1,,,6,5,5,1,1,survey,survey,5,2,2,6,5,1,2,5,2,6,4,1,2,1,4,6,1,1,5,6,6,4,1,1,5,1,2,6,4,2,2,3,3,4,3,3,3,5,2,2,4,3,57,2,4,1,,office manager,6,4,Michael keeps in contact with his parents. He completes tasks to a point of over thinking them. He reads and talks in great depth about things that are not related to topic.,,,,,,,,,,,,,,1,5,6,5,5,4,,,,,,,,,,,,,2,none,1,mic3,36.28140259,-83.13739777,-1,2.395989011,58.88,2.453333333
R_2wNuG5jv5oWXdIJ,Default Response Set,Anonymous,,,50.37.166.187,0,2/21/16 17:09,2/21/16 17:19,1,1,1,1,1,1,,,,1,,6,6,6,1,1,survey,survey,5,1,5,6,4,5,4,5,4,3,6,1,1,5,5,6,5,2,5,6,6,5,4,5,5,5,1,5,4,4,2,2,3,4,3,4,3,5,2,3,4,1,27,2,4,1,,Barista/Manager/Etsy Shop Owner,6,2,"Michael works very hard at his tasks until he can be sure they are near flawless, which causes him to sometimes miss deadlines and over-complicate simple tasks. /  / Michael is intelligent and well-versed in many topics that the average person finds boring; but that doesn't stop Michael from talking about them. /  / Michael is glib and makes his way easily through a crowd at parties, always eager to speak to the next person. This make some of his conversations feel hurried, however. /  / Michael is close with his parents and has a regular schedule with them. He will adhere to this schedule at the expense of new plans with others.",,,,,,,,,,,,,,,,,,,,1,6,5,2,4,6,,,,,,,2,Thank you!,1,mic4,46.7171936,-116.9179001,-1,2.431037736,197.4,2.407317073
R_1Cs6uNRny5GDbOm,Default Response Set,Anonymous,,,24.234.253.55,0,2/21/16 17:10,2/21/16 17:20,1,1,1,1,1,1,,,,1,,5,5,5,1,1,survey,survey,6,5,3,5,5,3,3,5,2,4,5,1,2,1,3,4,2,3,4,5,4,2,2,2,5,3,5,5,5,2,2,3,3,3,3,4,3,3,2,3,3,1,31,1,3,1,,Trader,8,4,"Michael is a good conversationalist. A soon as Michael puts his mind to something consider it done. Michael makes friends easily due to his conversation abilities, Michael spends a lot of time with  his parents, he has dinner with them every week. Michael puts a lot of focus on attention to detail, this cause him to sometimes miss deadlines because he may put  a lot of focus on something that is not very important. Michael likes to read s lot. Michael likes history and likes to talk about history. ",,,,,,,,,,,,,,,,,,,,1,4,5,4,5,5,,,,,,,2,,1,mic4,36.17370605,-115.1242981,-1,2.431037736,162.29,2.386617647
R_dhhK7XU2S5uS0dr,Default Response Set,Anonymous,,,65.188.241.29,0,2/21/16 17:09,2/21/16 17:20,1,1,1,1,1,1,,,,,1,3,3,3,1,1,survey,survey,6,2,4,6,6,4,5,5,5,5,6,2,3,2,6,6,2,2,5,5,5,3,1,4,6,3,2,6,6,4,2,3,5,5,4,2,4,3,4,2,5,1,26,1,6,1,,musician,7,3,sometimes he makes plans and does not see them through / he likes to read / he likes to do exciting things,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,3,5,5,2,,1,mic5,35.98989868,-79.6984024,-1,2.449836066,39.63,2.642
R_2ZBkC9z477HSfcy,Default Response Set,Anonymous,,,108.78.220.97,0,2/21/16 17:13,2/21/16 17:21,1,1,1,1,1,1,1,,,,,3,2,3,1,1,survey,survey,4,2,3,5,5,3,2,4,3,5,3,2,3,3,4,3,3,3,4,5,3,2,3,4,4,3,3,4,3,3,2,4,3,3,3,4,3,2,3,3,1,3,42,1,4,1,,,6,3,"Michael reported people for cheating in class, attended a music appreciation workshop, eats at ethnic restaurants, and participates in risky activities such as skydiving. /  / He also clips coupons and doesn't donate to charity.",1,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,mic1,33.83309937,-84.62030029,-1,2.532282609,54.95,2.497727273
R_08Il6EUq5Lje0WB,Default Response Set,Anonymous,,,96.8.175.73,0,2/21/16 17:10,2/21/16 17:21,1,1,1,1,1,1,,,1,,,5,5,5,1,1,4,2,5,5,4,5,5,5,1,5,3,3,3,3,4,3,4,4,3,1,4,4,4,2,1,3,5,2,5,5,5,5,4,4,3,2,3,4,3,2,2,3,3,4,38,1,4,1,,Full Time PhD student,9,3,"Michael has a close relationship with Michael. He has dinner with them and keeps in touch with them often. He keeps an eye on his money and rarely spends. He buys his clothes at thrift stores, splits his bills very carefully and doesnt loan money to friends except in dire circumstances. ",,,,,,,,,,,,,,1,4,5,4,5,5,,,,,,,,,,,,,1,,1,mic3,29.89860535,-98.72170258,-1,2.395989011,105.41,2.773947368
R_qVdpaecOxpyW9UJ,Default Response Set,Anonymous,,,174.53.84.103,0,2/21/16 17:11,2/21/16 17:22,1,1,1,1,1,1,,,,1,,5,4,5,1,1,survey,survey,4,5,4,4,5,2,1,4,3,4,3,1,2,5,4,4,4,4,4,4,3,4,5,4,4,1,6,6,4,4,2,3,3,3,3,3,3,4,1,1,4,2,55,2,4,1,,customer service,8,2,Micheal pays a lot of attention to details. sometimes this has caused him to be late with projects but he always does a good job. Micheal makes friends easily and this helps with his networking for his career. He is close to his family. ,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,,,,,,,2,,1,mic4,37.14930725,-79.23280334,-1,2.431037736,80.58,2.37
R_5zEoXIYvPmbmKgV,Default Response Set,Anonymous,,,104.34.197.178,0,2/21/16 17:14,2/21/16 17:25,1,1,1,1,1,1,,,,,1,5,5,5,1,1,survey,survey,3,3,2,5,4,2,4,3,4,3,4,2,5,2,5,5,3,3,4,5,2,5,2,5,5,2,3,4,3,2,2,3,2,3,3,4,2,3,2,4,2,2,26,1,4,1,,unemployed,6,3,"Michael is social and he makes friends easily. He sometimes makes plans that he doesn't follow through with because he gets caught up in the social moment. He sometimes over drinks at parties and he liked to dance. His friends say he brings a lot of energy to a social gathering. He likes to seek out adventure. He has been injured in his adventures and even risked death. He climbed a mountain, did downhill biking at night and other extreme outdoor activities. He reads a lot and is good at remembering and explaining what he read. He is a good speaker and can talk at length about the things he has read.",,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5,5,1,2,none,1,mic5,33.67460632,-118.0085983,-1,2.449836066,235.47,2.675795455
R_3dKWt5PciEwZRak,Default Response Set,Anonymous,,,72.79.218.21,0,2/21/16 17:20,2/21/16 17:26,1,1,1,1,1,1,,1,,,,2,3,3,1,1,survey,survey,4,3,4,5,4,4,5,4,4,3,4,1,5,2,5,4,2,2,4,4,3,4,1,3,4,2,3,3,3,3,2,3,3,3,3,4,3,3,3,4,3,2,30,2,4,1,,Administrator,8,4,Micheal does not always keep the plans he makes. Michael is good at a lot of things. Michaelmakes up his mind and sticks with it.,,,,,,,,1,4,4,2,2,3,,,,,,,,,,,,,,,,,,,2,,1,mic2,42.38960266,-72.45339966,-1,2.43,46.52,2.448421053
R_bmehNwBqLaJmHJv,Default Response Set,Anonymous,,,24.110.32.97,0,2/21/16 17:16,2/21/16 17:28,1,1,1,1,1,1,1,,,,,4,4,4,1,1,survey,survey,5,3,3,5,4,3,4,4,2,5,2,1,3,1,3,4,1,1,4,3,4,1,1,2,2,1,2,5,4,4,2,1,2,3,2,5,2,4,1,2,5,3,50,1,4,1,,restaurant co-owner,8,4,"I don't remember verbatim.  He is a risk taker, loving action.  He has climbed Mt. McKinley, done the rapids on the Colorado River, used a jet-powered boat.  He doesn't have a lot of friends.  He cuts coupons, finds sales, etc. in order to improve his life by saving money.  He tells on others in school, such as if he sees someone cheating but, he claims he has never cheated in his life.  That's all I remember.",1,3,4,4,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,2,Thank you.  I found the scenario to be more interesting than most.,1,mic1,29.23699951,-81.05799866,-1,2.532282609,126.05,2.626041667
R_ear0i1LscroW2kx,Default Response Set,Anonymous,,,184.14.144.196,0,2/21/16 17:20,2/21/16 17:29,1,1,1,1,1,1,,1,,,,2,1,2,1,1,survey,survey,4,4,1,2,4,3,1,3,3,5,4,2,4,4,5,3,1,4,1,1,3,3,1,5,5,1,4,3,3,1,2,3,4,3,4,4,4,4,3,4,5,2,54,2,4,1,,avon rep,5,3,"He has clilimbed mt mckinly. He has rode bikes down hill in the dark, skydived, risk his life more than one",,,,,,,,1,3,2,5,2,4,,,,,,,,,,,,,,,,,,,2,,1,mic2,37.9571991,-81.72380066,-1,2.43,39.95,3.073076923
R_6FqXPspyV6M5vqN,Default Response Set,Anonymous,,,73.166.200.57,0,2/21/16 17:25,2/21/16 17:29,1,1,1,1,1,1,,,,1,,4,2,4,1,1,survey,survey,5,2,3,2,4,3,5,5,3,4,2,2,3,5,5,2,3,2,5,3,5,5,2,3,2,2,3,3,5,4,2,4,2,3,2,4,4,3,2,2,4,3,28,1,4,1,,electrician,5,3,"Michael is very detail-oriented and puts care and focus into every project that comes his way, often producing quality work.  Sometimes, though, this approach can overcomplicate simple tasks or make him reluctant to call things he works on â€œfinished,â€ù so it takes him longer to complete assignments. Sometimes he can miss deadlines as a result.   /  / Michael knows a lot about history and literature from reading very frequently, and is very articulate. He tends to talk at length about the things heâ€™s learned about most recently, even if they arenâ€™t directly relevant to the topic of conversation, or if they only interest some of the people he speaks to. /  / Michael meets new people very easily because he is a good conversationalist. Sometimes he makes plans without intending on following through with them because he is so wrapped up in the social interaction at hand.  At larger functions, he makes a lot of new acquaintances by talking to people, but his conversations can also come off as hurried. /  / Once Michael makes up his mind to do something it is as good as done no matter how long it might take or how difficult the going might be. Only rarely does he change his mind even when sometimes things might have turned out a little better if he did.  /  / Michael is very close to his parents. He makes sure to have dinner with them every week, and calls them often.  He is consistent with this level of engagement, even when it is occasionally at the expense of seeing friends. ",,,,,,,,,,,,,,,,,,,,1,2,4,2,3,3,,,,,,,2,,1,mic4,30.00160217,-95.44750214,-1,2.431037736,515.38,2.431037736
R_25sjBWcwvDeEuRe,Default Response Set,Anonymous,,,209.55.77.245,0,2/21/16 17:21,2/21/16 17:30,1,1,1,1,1,1,,,,,1,4,4,2,1,1,survey,survey,6,4,6,6,6,4,1,6,1,6,3,1,1,1,1,6,4,3,4,4,6,1,1,1,6,4,6,6,6,4,2,1,3,5,3,5,3,5,3,1,5,1,51,1,4,1,,Self Employed,6,3,He was an achiever but also a bore. He liked risky adventures but could not be counted on when you depended on him.,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,5,1,5,2,,1,mic5,31.63929749,-98.97699738,-1,2.449836066,45.71,2.405789474
R_3iU7DzuItUkEgjc,Default Response Set,Anonymous,,,73.240.53.198,0,2/21/16 17:23,2/21/16 17:30,1,1,1,1,1,1,,,,1,,2,1,1,1,1,survey,survey,5,2,4,6,6,4,5,5,5,2,5,1,4,1,4,5,2,2,4,4,4,4,2,1,4,3,2,5,4,4,2,2,4,5,4,4,4,3,3,2,4,1,36,2,4,1,,barista,6,2,he knew a lot about history. he talked to people even when they weren't really interested in what he was saying. he met with his parents on a weekly basis. he was very close to his parents and met with them often even if it interfered with his friends.,,,,,,,,,,,,,,,,,,,,1,5,5,1,4,2,,,,,,,2,,1,mic4,43.92919922,-123.0867004,-1,2.431037736,109.88,2.555348837
R_1Eh9oy4Yp6IcA68,Default Response Set,Anonymous,,,107.9.23.140,0,2/21/16 17:20,2/21/16 17:30,1,1,1,1,1,1,,,,1,,5,4,4,1,1,survey,survey,4,2,3,5,4,2,2,4,4,5,5,1,3,5,2,4,5,4,3,3,3,2,2,2,3,2,3,4,4,4,2,2,2,3,2,5,2,4,2,2,5,4,65,1,4,1,,Professor,10,5,"Seemed to me to be a little OCD, concentrates on details when he could let them go. Knows a lot about various topics and likes to engage in conversations, even when his contributions are not necessarily on target for the group. Has a good relationship with parents and keeps in contact with them on a very regular (OCD) basis. Not sure what job he has. Do not believe his job was included in the description. Very focused on getting things done to a level of perfection.",,,,,,,,,,,,,,,,,,,,1,5,2,2,5,5,,,,,,,2,None,1,mic4,39.42849731,-84.6486969,-1,2.431037736,163.79,2.339857143
R_3hxOXybhBYPrO7Z,Default Response Set,Anonymous,,,5.80.253.8,0,2/21/16 17:29,2/21/16 17:31,1,1,1,1,1,1,1,,,,,5,5,4,1,1,50,30,3,5,5,5,5,4,3,4,5,5,5,6,5,5,3,5,4,4,5,5,4,4,4,5,5,4,4,4,5,5,5,4,3,3,4,4,3,3,5,4,3,3,25,1,4,1,,manager ,6,3,he was a person ,1,5,2,2,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,mic1,50.8500061,0.566696167,-1,2.532282609,11.8,2.95
R_22mOpTdbsWkCJG6,Default Response Set,Anonymous,,,76.30.243.175,0,2/21/16 17:20,2/21/16 17:33,1,1,1,1,1,1,,,1,,,5,5,5,1,1,survey,survey,5,3,6,5,6,5,3,5,2,2,2,2,2,2,2,5,4,2,3,2,5,1,2,1,4,2,2,4,5,3,2,2,5,5,1,5,2,5,2,3,4,4,41,2,2,1,,engineer,8,5,He makes sure to call/go out with his friends every week.  He sometimes missed his project deadline due to his details.  He is careful on his spending such as buying clothes at thrifty store.  ,,,,,,,,,,,,,,1,4,5,5,5,5,,,,,,,,,,,,,2,,1,mic3,29.98779297,-95.65499878,-1,2.395989011,77,2.75
R_sZtKbaGNT0MOQwh,Default Response Set,Anonymous,,,70.188.126.42,0,2/21/16 17:22,2/21/16 17:33,1,1,1,1,1,1,1,,,,,4,2,3,1,1,survey,survey,6,1,6,6,6,6,6,6,6,1,6,1,1,1,6,6,4,1,6,6,6,6,1,1,6,1,1,5,5,6,2,2,4,4,3,2,3,4,3,2,3,2,27,1,4,1,,mturk,6,3,"He has never thought about cheating. He often reports others for cheating. He's very cultured and loves to talk about his interests with friends as well as often pursue them. He's done various actibities including skydiving, driving a rocket powered boat.",1,0,2,3,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,2,he sounds douchy ,1,mic1,30.16889954,-92.05989838,-1,2.532282609,79.3,2.558064516
R_b76SAU8UstvZ8Ah,Default Response Set,Anonymous,,,73.138.150.11,0,2/21/16 17:24,2/21/16 17:33,1,1,1,1,1,1,,,1,,,3,3,2,1,1,survey,survey,3,2,3,4,4,5,5,4,4,4,5,1,3,3,4,4,3,3,5,5,4,3,2,3,4,3,2,4,4,3,2,3,4,4,4,4,4,5,3,3,3,3,61,2,4,1,,Manager,6,2,visits his parents.   talks about things that are sometimes not relevant to conversational topics (this is my ex-husband! lol).  is good at keeping his word.   ,,,,,,,,,,,,,,1,3,3,4,2,4,,,,,,,,,,,,,2,,1,mic3,26.52819824,-80.08429718,-1,2.395989011,36.02,2.118823529
R_3G2sqUgad0P5zU4,Default Response Set,Anonymous,,,98.145.220.145,0,2/21/16 17:26,2/21/16 17:33,1,1,1,1,1,1,,,,,1,5,4,5,1,1,survey,survey,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,6,5,5,5,5,6,5,5,4,4,4,4,5,1,5,1,4,4,4,29,2,4,1,,teacher,9,3,Michael has made dangerous decisions such as going downhill mountain bike riding at night.  He has mapricpated in several outdoor activities as well as being kicked out of bars before.,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,5,5,1,2,None that I can think of at this time.,1,mic5,32.688797,-114.6657028,-1,2.449836066,62.95,2.861363636
